Plot,Total,Dead,Ash,Buckthorn,Blackcherry,Boxelder,Americanelm,Redoak,Whiteoak,Redpine,Whitepine,Otherbroadleaf,Otherneedles,AGB,BA,DBH,Ht,CL,CW,C,C_sd,Cellulose,Cellulose_sd,Fiber,Fiber_sd,Lig,Lig_sd,LMA,LMA_sd,N,N_sd,NDVI,NDVI_sd,PRI,PRI_sd,NDWI,NDWI_sd,NDII,NDII_sd
DC02,27.60,2.00,0.00,1.60,0.00,1.99,0.00,0.00,0.00,0.00,0.00,22.00,0.00,190.73,29.88,46.48,27.14,17.70,11.47,48.95,0.62,14.79,1.96,33.31,4.67,19.24,3.55,85.40,18.67,2.51,0.24,0.93,0.00,-0.05,0.00,0.18,0.01,0.52,0.01
DC03,32.00,3.20,1.60,0.00,1.22,0.00,0.42,1.22,8.42,0.00,0.00,16.03,0.00,197.48,29.43,40.85,23.99,15.80,12.81,48.89,0.54,14.10,1.76,32.66,4.07,20.04,3.05,86.38,16.61,2.88,0.21,0.95,0.00,-0.06,0.01,0.16,0.01,0.49,0.01
DC04,37.20,4.00,0.82,0.41,3.20,0.00,0.00,1.19,0.00,5.99,0.00,3.65,18.00,146.51,33.81,36.65,23.91,12.90,7.32,49.34,0.57,17.55,1.56,40.36,3.95,25.58,2.76,150.79,16.54,2.21,0.22,0.90,0.02,-0.05,0.00,0.19,0.02,0.52,0.04
DC05,48.40,4.40,0.00,0.82,4.79,0.00,1.21,1.98,0.00,27.20,7.60,0.39,0.00,148.26,35.80,35.10,23.04,11.45,7.92,49.29,0.53,17.29,1.52,40.10,3.70,24.85,2.60,147.58,14.89,2.21,0.20,0.93,0.01,-0.04,0.00,0.21,0.01,0.56,0.02
DC06,16.80,0.00,0.00,0.00,0.00,0.40,0.00,0.00,0.00,0.00,0.00,16.41,0.00,133.42,17.07,38.63,22.87,15.96,10.38,48.63,0.59,14.51,1.62,33.79,4.10,22.46,2.87,92.27,17.53,2.99,0.22,0.94,0.00,-0.07,0.00,0.18,0.01,0.51,0.02
DC07,36.40,2.40,1.60,0.00,0.00,4.40,0.00,0.00,0.00,0.00,0.00,3.20,24.79,128.17,33.40,26.57,18.37,9.46,8.76,48.90,0.50,15.69,1.39,36.73,3.41,22.78,2.49,133.73,14.28,2.23,0.18,0.91,0.02,-0.07,0.01,0.17,0.04,0.48,0.06
DC10,25.60,4.40,0.00,2.00,0.00,0.00,0.41,0.00,0.00,0.00,0.00,18.84,0.00,132.08,21.85,32.29,18.32,12.51,12.43,48.44,0.52,15.08,1.43,31.97,3.64,20.39,2.55,80.74,14.01,2.96,0.19,0.94,0.00,-0.06,0.01,0.18,0.01,0.50,0.02
DC12,34.00,6.00,0.41,0.00,0.00,0.00,0.41,2.01,3.60,0.00,0.00,21.62,0.00,318.24,23.88,65.32,29.54,26.04,15.03,48.76,0.47,14.53,1.47,32.81,3.59,20.22,2.54,85.47,13.57,2.72,0.17,0.92,0.00,-0.05,0.01,0.16,0.01,0.46,0.02
DC13,25.20,2.00,1.21,0.00,0.00,0.00,0.40,3.60,15.20,0.00,0.00,2.82,0.00,222.82,25.79,53.27,26.77,20.70,14.01,49.22,0.40,15.93,1.21,35.88,2.79,21.95,2.09,92.10,11.04,2.90,0.14,0.92,0.00,-0.03,0.01,0.14,0.01,0.46,0.01
DC15,46.00,3.20,0.00,0.00,5.98,0.00,0.00,0.00,0.00,4.78,29.99,2.02,0.00,169.46,35.12,40.87,25.69,14.24,8.00,49.36,0.45,16.76,1.23,39.84,3.05,24.42,2.15,147.54,12.06,2.06,0.16,0.92,0.00,-0.04,0.01,0.18,0.01,0.51,0.02
DC20,34.80,0.40,1.60,0.80,2.78,0.38,0.00,0.38,0.00,0.00,0.00,3.97,24.39,116.81,36.21,24.07,15.89,8.40,5.53,49.25,0.38,15.85,1.05,36.80,2.59,23.21,1.90,129.51,10.93,2.31,0.14,0.88,0.01,-0.06,0.00,0.12,0.03,0.39,0.03
